Common Name	Scientific Name	Synonymes	Domain	SubDomain	SuperKingdom	Kingdom	SubKingdom	InfraKingdom	SuperPhylum (subDivision)	Phylum (division)	SubPhylum (subDivision)	InfraPhylum	SuperClass	Class	SubClass	InfraClass	SubterClass (?)	SuperOrder	Order	SubOrder	InfraOrder	MicroOrder	SuperFamily	Family	SubFamily	Tribe	SubTribe	Genus	GenusSynonyme	SubGenus	Species	SpeciesSynonyme	SubSpecies	Country	CountryAlphaCode2	CountryAlphaCode3	Image	Source
	Aagaardia oksanae		Eukaryota	Unikonta	Opisthokonta	Animalia	Bilateria	Protostomia	Ecdysozoa	Arthropoda	Hexapoda			Insecta	Pterygota	Neoptera		Holometabola	Diptera	Nematocera	Culicomorpha		Chironomoidea	Chironomidae	Orthocladiinae			Aagaardia			Aagaardia oksanae						0	
	Aagaardia protensa		Eukaryota	Unikonta	Opisthokonta	Animalia	Bilateria	Protostomia	Ecdysozoa	Arthropoda	Hexapoda			Insecta	Pterygota	Neoptera		Holometabola	Diptera	Nematocera	Culicomorpha		Chironomoidea	Chironomidae	Orthocladiinae			Aagaardia			Aagaardia protensa			Finland, Norway, Sweden	FI, NO, SE	FIN, NOR, SWE	0	
	Aagaardia sivertseni		Eukaryota	Unikonta	Opisthokonta	Animalia	Bilateria	Protostomia	Ecdysozoa	Arthropoda	Hexapoda			Insecta	Pterygota	Neoptera		Holometabola	Diptera	Nematocera	Culicomorpha		Chironomoidea	Chironomidae	Orthocladiinae			Aagaardia			Aagaardia sivertseni	Eukiefferiella sivertseni,Zalutschia sivertseni		Norway	NO	NOR	0	
	Aagaardia triangulata		Eukaryota	Unikonta	Opisthokonta	Animalia	Bilateria	Protostomia	Ecdysozoa	Arthropoda	Hexapoda			Insecta	Pterygota	Neoptera		Holometabola	Diptera	Nematocera	Culicomorpha		Chironomoidea	Chironomidae	Orthocladiinae			Aagaardia			Aagaardia triangulata						0	
	Aaka coera		Eukaryota	Unikonta	Opisthokonta	Animalia	Bilateria	Protostomia	Ecdysozoa	Arthropoda	Hexapoda			Insecta	Pterygota	Neoptera		Paraneoptera	Hemiptera	Auchenorrhyncha	Cicadomorpha		Membracoidea	Cicadellidae	Typhlocybinae	Erythroneurini		Aaka			Aaka coera							https://www.gbif.org/fr/species/2024953 http://insecta.pro/taxonomy/481263 https://zh.mindat.org/taxon-2024953.html
	Aalatettix bulbosus		Eukaryota	Unikonta	Opisthokonta	Animalia	Bilateria	Protostomia	Ecdysozoa	Arthropoda	Hexapoda			Insecta					Orthoptera				Tetrigoidea	Tetrigidae				Aalatettix			Aalatettix bulbosus							
	Aalatettix cangshanensis		Eukaryota	Unikonta	Opisthokonta	Animalia	Bilateria	Protostomia	Ecdysozoa	Arthropoda	Hexapoda			Insecta					Orthoptera				Tetrigoidea	Tetrigidae				Aalatettix			Aalatettix cangshanensis							
	Aalatettix gibbosa		Eukaryota	Unikonta	Opisthokonta	Animalia	Bilateria	Protostomia	Ecdysozoa	Arthropoda	Hexapoda			Insecta					Orthoptera				Tetrigoidea	Tetrigidae				Aalatettix			Aalatettix gibbosa							
	Aalatettix hupingshanensis		Eukaryota	Unikonta	Opisthokonta	Animalia	Bilateria	Protostomia	Ecdysozoa	Arthropoda	Hexapoda			Insecta					Orthoptera				Tetrigoidea	Tetrigidae				Aalatettix			Aalatettix hupingshanensis							
	Aalatettix lativertex		Eukaryota	Unikonta	Opisthokonta	Animalia	Bilateria	Protostomia	Ecdysozoa	Arthropoda	Hexapoda			Insecta					Orthoptera				Tetrigoidea	Tetrigidae				Aalatettix			Aalatettix lativertex							
	Aalatettix leshanensis		Eukaryota	Unikonta	Opisthokonta	Animalia	Bilateria	Protostomia	Ecdysozoa	Arthropoda	Hexapoda			Insecta					Orthoptera				Tetrigoidea	Tetrigidae				Aalatettix			Aalatettix leshanensis							
	Aalatettix lini		Eukaryota	Unikonta	Opisthokonta	Animalia	Bilateria	Protostomia	Ecdysozoa	Arthropoda	Hexapoda			Insecta					Orthoptera				Tetrigoidea	Tetrigidae				Aalatettix			Aalatettix lini							
	Aalatettix longipulvillus		Eukaryota	Unikonta	Opisthokonta	Animalia	Bilateria	Protostomia	Ecdysozoa	Arthropoda	Hexapoda			Insecta					Orthoptera				Tetrigoidea	Tetrigidae				Aalatettix			Aalatettix longipulvillus							
	Aalatettix nyalamensis		Eukaryota	Unikonta	Opisthokonta	Animalia	Bilateria	Protostomia	Ecdysozoa	Arthropoda	Hexapoda			Insecta					Orthoptera				Tetrigoidea	Tetrigidae				Aalatettix			Aalatettix nyalamensis							
	Aalatettix xiai		Eukaryota	Unikonta	Opisthokonta	Animalia	Bilateria	Protostomia	Ecdysozoa	Arthropoda	Hexapoda			Insecta					Orthoptera				Tetrigoidea	Tetrigidae				Aalatettix			Aalatettix xiai							
	Abrocomidae		Eukaryota	Unikonta	Opisthokonta																										Abrocomidae							
	Acrobatidae		Eukaryota	Unikonta	Opisthokonta																										Acrobatidae							
	Aenigmachanna gollum																																				1	
	Agama sinaita		Eukaryota	Unikonta	Opisthokonta	Animalia																		Agamidae	Agaminae			Agama			Agama sinaita						1	
	Ailuropoda melanoleuca		Eukaryota	Unikonta	Opisthokonta	Animalia				Chordata				Mammalia					Carnivora					Ursidae	Ailuropodidae						Ailuropoda melanoleuca							
	Ammotrypanella keenan																																				1	
	Anomalurus beecrofti		Eukaryota	Unikonta	Opisthokonta	Animalia	Bilateria	Deuterostomia		Chordata	Vertebrata	Gnathostomata	Tetrapoda	Mammalia	 Theria	Eutheria		Euarchontoglires	Rodentia	Anomaluromorpha				Anomaluridae	Anomalurinae			Anomalurus			Anomalurus beecrofti						0	
	Antilocapra americana		Eukaryota	Unikonta	Opisthokonta	Animalia	Bilateria	Deuterostomia		Chordata	Vertebrata	Gnathostomata	Tetrapoda	Mammalia	Theria	Eutheria			Artiodactyla					Antilocapridae				Antilocapra			Antilocapra americana						1	
	Antilocapra americana americana		Eukaryota	Unikonta	Opisthokonta	Animalia	Bilateria	Deuterostomia		Chordata	Vertebrata	Gnathostomata	Tetrapoda	Mammalia	Theria	Eutheria			Artiodactyla					Antilocapridae				Antilocapra			Antilocapra americana americana						1	
	Antilocapra americana mexicana		Eukaryota	Unikonta	Opisthokonta	Animalia	Bilateria	Deuterostomia		Chordata	Vertebrata	Gnathostomata	Tetrapoda	Mammalia	Theria	Eutheria			Artiodactyla					Antilocapridae				Antilocapra			Antilocapra americana mexicana						1	
	Antilocapra americana oregona		Eukaryota	Unikonta	Opisthokonta	Animalia	Bilateria	Deuterostomia		Chordata	Vertebrata	Gnathostomata	Tetrapoda	Mammalia	Theria	Eutheria			Artiodactyla					Antilocapridae				Antilocapra			Antilocapra americana oregona						1	
	Antilocapra americana peninsularis		Eukaryota	Unikonta	Opisthokonta	Animalia	Bilateria	Deuterostomia		Chordata	Vertebrata	Gnathostomata	Tetrapoda	Mammalia	Theria	Eutheria			Artiodactyla					Antilocapridae				Antilocapra			Antilocapra americana peninsularis						1	
	Antilocapra americana sonoriensis		Eukaryota	Unikonta	Opisthokonta	Animalia	Bilateria	Deuterostomia		Chordata	Vertebrata	Gnathostomata	Tetrapoda	Mammalia	Theria	Eutheria			Artiodactyla					Antilocapridae				Antilocapra			Antilocapra americana sonoriensis						1	
	Aplidium elegans																														Aplidium elegans						1	
