Mineral Name,Mineral Name (plain),RRUFF Chemistry (plain),IMA Chemistry (plain),Chemistry Elements,IMA Number,Database ID,Country of Type Locality,IMA Status,Structural Groupname,Crystal Systems,Valence Elements,Image
Cobaltkieserite,Cobaltkieserite,Co2+S6+O4·H2O,Co(SO4)·H2O,Co S O H,IMA2002-004,1520,Sweden,Approved,Kieserite,monoclinic,Co^2+ S^6+ O H,
Cobaltkoritnigite,Cobaltkoritnigite,Co2+(As5+O3OH)·H2O,Co(AsO3OH)·H2O,Co As O H,IMA1980-013,1521,Germany,Approved,Koritnigite,triclinic,Co^2+ As^5+ O H,
Cobaltlotharmeyerite,Cobaltlotharmeyerite,CaCo2+2(As5+O4)2·2H2O,CaCo2(AsO4)2·2H2O,Ca Co As O H,IMA1997-027,1522,Germany,Approved,Natrochalcite,monoclinic,Ca Co^2+ As^5+ O H,
Cobaltneustädtelite,Cobaltneustadtelite,"Bi3+2Fe3+(Co2+,Fe3+)(As5+O4)2(O,OH)4","Bi2Fe3+(Co,Fe3+)(AsO4)2(O,OH)4",Bi Fe Co As O H,IMA2000-012,1523,Germany,Approved, ,triclinic,Bi^3+ Fe^3+ Co^2+ As^5+ O H,
Cobaltoblödite,Cobaltoblodite,Na2Co2+(S6+O4)2·4H2O,Na2Co(SO4)2·4H2O,Na Co S O H,IMA2012-059,6115,USA,Approved,Blödite,monoclinic,Na Co^2+ S^6+ O H,
Cobaltomenite,Cobaltomenite,Co2+Se4+O3·2H2O,Co(Se4+O3)·2H2O,Co Se O H,IMA2007 s.p.,1524,Argentina,Approved|Renamed,Cobaltomenite,monoclinic,Co^2+ Se^4+ O H,
Cobaltpentlandite,Cobaltpentlandite,Co9S8,Co9S8,Co S,IMA1962 s.p.,1525,Finland,Approved|Renamed,Pentlandite,cubic,Co S,
Cobalttsumcorite,Cobalttsumcorite,Pb2+Co2+2(As5+O4)2·2H2O,PbCo2(AsO4)2·2H2O,Pb Co As O H,IMA1999-029,1526,Germany,Approved,Natrochalcite,monoclinic,Pb^2+ Co^2+ As^5+ O H,
Cobaltzippeite,Cobaltzippeite,Co2+(U6+O2)2(S6+O4)O2·3.5H2O,Co(UO2)2(SO4)O2·3.5H2O,Co U O S H,IMA1971-006,4979,USA,Approved|Renamed,Zippeite,monoclinic,Co^2+ U^6+ O S^6+ H,
Coccinite,Coccinite,HgI2,HgI2,Hg I,,5436,Mexico,Grandfathered|Approved, ,tetragonal,Hg I,
Cochromite,Cochromite,Co2+Cr3+2O4,CoCr2O4,Co Cr O,IMA1978-049,1527,South Africa,Approved,Spinel,cubic,Co^2+ Cr^3+ O,
Coconinoite,Coconinoite,Fe3+2Al2(U6+O2)2(PO4)4(S6+O4)(OH)2·20H2O,Fe3+2Al2(UO2)2(PO4)4(SO4)(OH)2·20H2O,Fe Al U O P S H,IMA1965-003,1528,USA,Approved, ,monoclinic,Fe^3+ Al U^6+ O P S^6+ H,
Coesite,Coesite,SiO2,SiO2,Si O,,1530,USA,Approved, ,monoclinic,Si O,
Coffinite,Coffinite,U4+(SiO4)·nH2O,U(SiO4)·nH2O,U Si O H,,1531,USA,Grandfathered|Approved,Zircon,tetragonal,U^4+ Si O H,
Cohenite,Cohenite,Fe3C,CFe3,C Fe,,1532,Slovakia,Grandfathered|Approved,Perovskite,orthorhombic,Fe C,
Coiraite,Coiraite,"(Pb2+,Sn2+)12.5As3+3Fe2+Sn4+5S2-28","(Pb,Sn)12.5As3Sn5FeS28",Pb Sn As Fe S,IMA2005-024,5525,Argentina,Approved, ,monoclinic,Pb^2+ Sn^2+ As^3+ Fe^2+ Sn^4+ S^2-,
Coldwellite,Coldwellite,Pd3Ag2S,Pd3Ag2S,Pd Ag S,IMA2014-045,6341,Canada,Approved, ,,Pd Ag S,
Colemanite,Colemanite,CaB3O4(OH)3·H2O,CaB3O4(OH)3·H2O,Ca B O H,,1533,USA,Grandfathered|Approved, ,monoclinic,Ca B O H,
Colimaite,Colimaite,K3V5+S2-4,K3VS4,K V S,IMA2007-045,5647,Mexico,Approved, ,orthorhombic,K V^5+ S^2-,
Colinowensite,Colinowensite,BaCu2+Si2O6,BaCuSi2O6,Ba Cu Si O,IMA2012-060,6116,South Africa,Approved, ,tetragonal,Ba Cu^2+ Si O,
Collinsite,Collinsite,Ca2Mg(PO4)2·2H2O,Ca2Mg(PO4)2·2H2O,Ca Mg P O H,,1534,Canada,Grandfathered|Approved,Fairfieldite,triclinic,Ca Mg P O H,
Coloradoite,Coloradoite,Hg2+Te2-,HgTe,Hg Te,,1535,USA,Grandfathered|Approved,Sphalerite,cubic,Hg^2+ Te^2-,
Colquiriite,Colquiriite,CaLiAlF6,CaLiAlF6,Ca Li Al F,IMA1980-015,1536,Bolivia,Approved, ,hexagonal,Ca Li Al F,
Columbite-(Fe),Columbite-(Fe),Fe2+Nb5+2O6,Fe2+Nb2O6,Fe Nb O,IMA2007 s.p.,1887,USA,Approved|Renamed,Columbite,orthorhombic,Fe^2+ Nb^5+ O,
Columbite-(Mg),Columbite-(Mg),MgNb5+2O6,MgNb2O6,Mg Nb O,IMA1967 s.p.,2936,Tajikistan,Approved|Renamed,Columbite,orthorhombic,Mg Nb^5+ O,
Columbite-(Mn),Columbite-(Mn),Mn2+Nb5+2O6,Mn2+Nb2O6,Mn Nb O,IMA2007 s.p.,3003,USA,Approved|Renamed,Columbite,orthorhombic,Mn^2+ Nb^5+ O,
Colusite,Colusite,Cu1+12Cu2+V3+As5+3S2-16,Cu13VAs3S16,Cu V As S,,1537,USA,Grandfathered|Approved,Germanite,cubic,Cu^1+ Cu^2+ V^3+ As^5+ S^2-,
Comancheite,Comancheite,"Hg2+55N3-24(N3-H2,OH)4(Cl,Br)34","Hg2+55N3-24(NH2,OH)4(Cl,Br)34",Hg N H O Cl Br,IMA1980-077,1538,USA,Approved|Redefined, ,orthorhombic,Hg^2+ N^3- H O Cl Br,
