Mineral Name,Mineral Name (plain),RRUFF Chemistry (plain),IMA Chemistry (plain),Chemistry Elements,IMA Number,Database ID,Country of Type Locality,IMA Status,Structural Groupname,Crystal Systems,Valence Elements,Image
Ianthinite,Ianthinite,U4+2(U6+O2)4O6(OH)4·9H2O,U4+2(UO2)4O6(OH)4·9H2O,U O H,,2367,Democratic Republic of the Congo,Grandfathered|Approved, ,orthorhombic,U^4+ U^6+ O H,
Ice,Ice,H2O,H2O,H O,,2368,unknown,Grandfathered|Approved,Tridymite,,H O,
Ice-VII,Ice-VII,H2O,H2O,H O,IMA2017-029,6668,Botswana,Pending publication|Approved, ,cubic,H O,
Ichnusaite,Ichnusaite,Th4+(Mo6+O4)2·3H2O,Th(MoO4)2·3H2O,Th Mo O H,IMA2013-087,6246,Italy,Approved, ,monoclinic,Th^4+ Mo^6+ O H,
Icosahedrite,Icosahedrite,Al63Cu24Fe13,Al63Cu24Fe13,Al Cu Fe,IMA2010-042,5872,Russia (meteorite),Approved, ,,Al Cu Fe,
Idaite,Idaite,Cu3FeS2-4,Cu3FeS4,Cu Fe S,,2369,Namibia,Grandfathered|Approved,Stannite,tetragonal|hexagonal,Cu Fe S^2-,
Idrialite,Idrialite,C22H14,C22H14,C H,,2370,Slovenia,Grandfathered|Approved, ,orthorhombic,C H,
Iimoriite-(Y),Iimoriite-(Y),Y3+2(SiO4)(CO3),Y2(SiO4)(CO3),Y Si O C,"IMA1967-033, IMA1987 s.p.",2371,Japan,Approved|Renamed, ,triclinic,Y^3+ Si O C,
Ikaite,Ikaite,CaCO3·6H2O,Ca(CO3)·6H2O,Ca C O H,IMA1962-005,2372,Denmark (Greenland),Approved, ,monoclinic,Ca C O H,
Ikranite,Ikranite,"(Na,H3O)15(Ca,Mn2+,Ce3+)6Fe3+2Zr4+3Si24O66(O,OH)6Cl·nH2O","(Na,H3O)15(Ca,Mn,REE)6Fe3+2Zr3Si24O66(O,OH)6Cl·nH2O",Na H O Ca Mn REE Fe Zr Si Cl,IMA2000-010,2373,Russia,Approved,Eudialyte,hexagonal,Na H O Ca Mn^2+ Ce^3+ Fe^3+ Zr^4+ Si Cl,
Ikunolite,Ikunolite,Bi4S3,Bi4S3,Bi S,,2374,Japan,Approved,Tetradymite,hexagonal,Bi S,
Ilesite,Ilesite,Mn2+S6+O4·4H2O,Mn2+(SO4)·4H2O,Mn S O H,,2375,USA,Grandfathered|Approved,Starkeyite,monoclinic,Mn^2+ S^6+ O H,
Ilímaussite-(Ce),Ilimaussite-(Ce),"(Ba,Na)10K3Na4.5Ce3+5(Nb5+,Ti4+)6O6(Si12O36)(Si9O18)(O,OH)24","(Ba,Na)10K3Na4.5Ce5(Nb,Ti)6O6(Si12O36)(Si9O18)(O,OH)24",Ba Na K Ce Nb Ti O Si H,"IMA1965-025, IMA1987 s.p.",2376,Denmark (Greenland),Approved|Renamed, ,hexagonal,Ba Na K Ce^3+ Nb^5+ Ti^4+ O Si H,
Ilinskite,Ilinskite,NaCu2+5O2(Se4+O3)2Cl3,NaCu5O2(Se4+O3)2Cl3,Na Cu O Se Cl,IMA1996-027,2377,Russia,Approved, ,orthorhombic,Na Cu^2+ O Se^4+ Cl,
Ilirneyite,Ilirneyite,Mg0.5Zn2+Mn3+(Te4+O3)3·4.5H2O,Mg0.5[ZnMn3+(TeO3)3]·4.5H2O,Mg Zn Mn Te O H,IMA2015-046,6447,Russia,Approved,Zemannite,hexagonal,Mg Zn^2+ Mn^3+ Te^4+ O H,
Ilmajokite-(Ce),Ilmajokite-(Ce),Na11KBaCe2Ti4+12Si37.5O94(OH)30·29H2O,Na11KBaCe2Ti12Si37.5O94(OH)30·29H2O,Na K Ba Ce Ti Si O H,IMA1971-027,5023,Russia,Approved|Renamed, ,,Na K Ba Ce Ti^4+ Si O H,
Ilmenite,Ilmenite,Fe2+Ti4+O3,Fe2+Ti4+O3,Fe Ti O,,2378,Russia,Grandfathered|Approved,Corundum,hexagonal,Fe^2+ Ti^4+ O,
Ilsemannite,Ilsemannite,Mo4+Mo6+2O8·nH2O,Mo3O8·nH2O (?),Mo O H,,5000,Austria,Questionable mineral species|Approved, ,unknown,Mo^4+ Mo^6+ O H,
Iltisite,Iltisite,Hg2+Ag1+S2-Cl,HgAgSCl,Hg Ag S Cl,IMA1994-031,2380,France,Approved, ,hexagonal,Hg^2+ Ag^1+ S^2- Cl,
Ilvaite,Ilvaite,CaFe2+2Fe3+OSi2O7(OH),CaFe3+Fe2+2O(Si2O7)(OH),Ca Fe O Si H,,2381,Italy,Grandfathered|Approved,Ilvaite,monoclinic|orthorhombic,Ca Fe^2+ Fe^3+ O Si H,
Ilyukhinite,Ilyukhinite,"(H3O,Na)14Ca6Mn2+2Zr4+3Si26O72(OH)2·3H2O","(H3O,Na)14Ca6Mn2Zr3Si26O72(OH)2·3H2O",H O Na Ca Mn Zr Si,IMA2015-065,6467,Russia,Approved,Eudialyte,hexagonal,H O Na Ca Mn^2+ Zr^4+ Si,
Imandrite,Imandrite,Na12Ca3Fe3+2Si12O36,Na12Ca3Fe3+2Si12O36,Na Ca Fe Si O,IMA1979-025,2458,Russia,Approved,Lovozerite-Imandrite,orthorhombic,Na Ca Fe^3+ Si O,
Imayoshiite,Imayoshiite,Ca3Al(CO3)[B(OH)4](OH)6·12H2O,Ca3Al(CO3)[B(OH)4](OH)6·12H2O,Ca Al C O B H,IMA2013-069,6230,Japan,Pending publication|Approved,Ettringite,hexagonal,Ca Al C O B H,
Imhofite,Imhofite,Tl5.8As15.4S26,Tl5.8As15.4S26,Tl As S,,2459,Switzerland,Approved, ,monoclinic,Tl As S,
Imiterite,Imiterite,Ag2HgS2,Ag2HgS2,Ag Hg S,IMA1983-038,2460,Morocco,Approved|Renamed, ,monoclinic,Ag Hg S,
Imogolite,Imogolite,Al2SiO3(OH)4,Al2SiO3(OH)4,Al Si O H,,2461,Japan,Approved|Redefined,Allophane,,Al Si O H,
Inaglyite,Inaglyite,Pb2+Cu2+3Ir3+8S2-16,PbCu3Ir8S16,Pb Cu Ir S,IMA1983-054,2462,Russia,Approved, ,hexagonal,Pb^2+ Cu^2+ Ir^3+ S^2-,
Incomsartorite,Incomsartorite,Tl1+6Pb2+144As3+246S2-516,Tl6Pb144As246S516,Tl Pb As S,IMA2016-035,6563,Switzerland,Pending publication|Approved,Sartorite,monoclinic,Tl^1+ Pb^2+ As^3+ S^2-,
Inderborite,Inderborite,CaMg[B3O3(OH)5]2·6H2O,CaMg[B3O3(OH)5]2·6H2O,Ca Mg B O H,,2464,Kazakhstan,Grandfathered|Approved, ,monoclinic,Ca Mg B O H,
Inderite,Inderite,MgB3O3(OH)5·5H2O,MgB3O3(OH)5·5H2O,Mg B O H,,2465,Kazakhstan,Approved, ,monoclinic,Mg B O H,
Indialite,Indialite,Mg2Al3(AlSi5)O18,Mg2Al3(AlSi5)O18,Mg Al Si O,,2466,India,Grandfathered|Approved,Beryl,hexagonal,Mg Al Si O,
Indigirite,Indigirite,Mg2Al2(CO3)4(OH)2·15H2O,Mg2Al2(CO3)4(OH)2·15H2O,Mg Al C O H,IMA1971-012,2467,Russia,Approved,Artinite,,Mg Al C O H,
Indite,Indite,Fe2+In3+2S2-4,FeIn2S4,Fe In S,,2468,Russia,Approved,Spinel,cubic,Fe^2+ In^3+ S^2-,
Indium,Indium,In,In,In,,2469,Russia,Approved, ,tetragonal,In,
Inesite,Inesite,Ca2Mn2+7Si10O28(OH)2·5H2O,Ca2Mn2+7Si10O28(OH)2·5H2O,Ca Mn Si O H,,2470,Germany,Grandfathered|Approved, ,triclinic,Ca Mn^2+ Si O H,
Ingersonite,Ingersonite,Ca3Mn2+Sb5+4O14,Ca3Mn2+Sb5+4O14,Ca Mn Sb O,IMA1986-021,2471,Sweden,Approved, ,hexagonal,Ca Mn^2+ Sb^5+ O,
Ingodite,Ingodite,Bi2TeS,Bi2TeS,Bi Te S,IMA1980-045,2472,Russia,Approved,Tetradymite,hexagonal,Bi Te S,
Innelite,Innelite,Ba4Ti4+2Na(NaCa)Ti4+(Si2O7)2[(S6+O4)(P5+O4)]O2[O(OH)],Ba4Ti2Na(NaCa)Ti(Si2O7)2[(SO4)(PO4)]O2[O(OH)],Ba Ti Na Ca Si O S P H,,2473,Russia,Approved|Redefined,Seidozerite-Lamprophyllite,triclinic|monoclinic,Ba Ti^4+ Na Ca Si O S^6+ P^5+ H,
Innsbruckite,Innsbruckite,Mn2+33(Si2O5)14(OH)38,Mn33(Si2O5)14(OH)38,Mn Si O H,IMA2013-038,6203,Austria,Approved, ,monoclinic,Mn^2+ Si O H,
Insizwaite,Insizwaite,PtBi2,PtBi2,Pt Bi,IMA1971-031,2474,South Africa,Approved,Pyrite,cubic,Pt Bi,
Intersilite,Intersilite,"Na6Mn2+(Ti4+,Nb5+)Si10(O,OH)28·4H2O","Na6Mn(Ti,Nb)Si10(O,OH)28·4H2O",Na Mn Ti Nb Si O H,IMA1995-033,2475,Russia,Approved, ,monoclinic,Na Mn^2+ Ti^4+ Nb^5+ Si O H,
Inyoite,Inyoite,CaB3O3(OH)5·4H2O,CaB3O3(OH)5·4H2O,Ca B O H,,2476,USA,Grandfathered|Approved, ,monoclinic,Ca B O H,
Iodargyrite,Iodargyrite,Ag1+I1-,AgI,Ag I,,2477,Mexico,Approved,Wurtzite,hexagonal,Ag^1+ I^1-,
Iowaite,Iowaite,Mg6Fe3+2(OH)16Cl2·4H2O,Mg6Fe3+2(OH)16Cl2·4H2O,Mg Fe O H Cl,IMA1967-002,2478,USA,Approved,Hydrotalcite,hexagonal,Mg Fe^3+ O H Cl,
Iquiqueite,Iquiqueite,K3Na4Mg(Cr6+O4)B24O39(OH)·12H2O,K3Na4Mg(CrO4)B24O39(OH)·12H2O,K Na Mg Cr O B H,IMA1984-019,2479,Chile,Approved, ,hexagonal,K Na Mg Cr^6+ O B H,
Iranite,Iranite,Pb2+10Cu2+(Cr6+O4)6(SiO4)2(OH)2,CuPb10(CrO4)6(SiO4)2(OH)2,Cu Pb Cr O Si H,,2480,Iran,Approved,Iranite,triclinic,Pb^2+ Cu^2+ Cr^6+ O Si H,
Iraqite-(La),Iraqite-(La),"KCa2(La,Ce,Th)Si8O20","KCa2(La,Ce,Th)Si8O20",K Ca La Ce Th Si O,IMA1973-041,2481,Iraq,Approved,Steacyite,,K Ca La Ce Th Si O,
Irarsite,Irarsite,Ir3+(AsS)3-,IrAsS,Ir As S,IMA1966-028,2482,South Africa,Approved,Pyrite,cubic,Ir^3+ As S,
Irhtemite,Irhtemite,Ca4Mg(As5+O4)2(As5+O3OH)2·4H2O,Ca4Mg(AsO4)2(AsO3OH)2·4H2O,Ca Mg As O H,IMA1971-034,2483,Morocco,Approved, ,monoclinic,Ca Mg As^5+ O H,
Iridarsenite,Iridarsenite,IrAs2,IrAs2,Ir As,IMA1973-021,2484,Papua New Guinea,Approved, ,monoclinic,Ir As,
Iridium,Iridium,Ir,Ir,Ir,,2485,Russia ?,Approved|Redefined,Copper,cubic,Ir,
Iriginite,Iriginite,(U6+O2)Mo6+2O7·3H2O,(UO2)Mo6+2O7·3H2O,U O Mo H,,2486,Russia,Grandfathered|Approved, ,orthorhombic,U^6+ O Mo^6+ H,
Irinarassite,Irinarassite,Ca3Sn4+2(Al2Si)O12,Ca3Sn2(SiAl2)O12,Ca Sn Si Al O,IMA2010-073,5913,Russia,Approved,Garnet,cubic,Ca Sn^4+ Al Si O,
Iron,Iron,Fe,Fe,Fe,,2487,unknown,Grandfathered|Approved,Iron,cubic,Fe,
Irtyshite,Irtyshite,Na2Ta5+4O11,Na2Ta4O11,Na Ta O,IMA1984-025,2488,Kazakhstan,Approved, ,hexagonal,Na Ta^5+ O,
Iseite,Iseite,Mn2+2Mo4+3O8,Mn2Mo3O8,Mn Mo O,IMA2012-020,6080,Japan,Approved,Nolanite,hexagonal,Mn^2+ Mo^4+ O,
Ishiharaite,Ishiharaite,"(Cu1+,Ga3+,Fe3+,In3+,Zn2+)S2-","(Cu,Ga,Fe,In,Zn)S",Cu Ga Fe In Zn S,IMA2013-119,6277,Argentina,Approved,Sphalerite,cubic,Cu^1+ Ga^3+ Fe^3+ In^3+ Zn^2+ S^2-,
Ishikawaite,Ishikawaite,"(U4+,Fe2+,Y3+)Nb5+O4","(U,Fe,Y)NbO4",U Fe Y Nb O,,5118,Japan,Grandfathered|Approved, ,unknown|monoclinic,U^4+ Fe^2+ Y^3+ Nb^5+ O,
Isoclasite,Isoclasite,Ca2P5+O4(OH)·2H2O,Ca2(PO4)(OH)·2H2O,Ca P O H,,5397,Czech Republic,Questionable mineral species|Approved, ,,Ca P^5+ O H,
Isocubanite,Isocubanite,Cu1+Fe2+Fe3+S2-3,CuFe2S3,Cu Fe S,IMA1983-E,2489,Pacific Ocean,Approved,Sphalerite,cubic,Cu^1+ Fe^2+ Fe^3+ S^2-,
Isoferroplatinum,Isoferroplatinum,Pt3Fe,Pt3Fe,Pt Fe,IMA1974-012a,2490,Canada,Approved,Auricupride,cubic,Pt Fe,
Isokite,Isokite,CaMgP5+O4F,CaMg(PO4)F,Ca Mg P O F,,2491,Zambia,Grandfathered|Approved,Titanite,monoclinic,Ca Mg P^5+ O F,
Isolueshite,Isolueshite,NaNb5+O3,NaNbO3,Na Nb O,IMA1995-024,2492,Russia,Approved,Perovskite,orthorhombic|cubic,Na Nb^5+ O,
Isomertieite,Isomertieite,Pd11Sb2As2,Pd11Sb2As2,Pd Sb As,IMA1973-057,2493,Brazil,Approved,Isomertieite,cubic,Pd Sb As,
Isovite,Isovite,"(Cr,Fe)23C6","(Cr,Fe)23C6",Cr Fe C,IMA1996-039,2494,Russia,Approved,Haxonite,cubic,Cr Fe C,
Isselite,Isselite,Cu2+6(S6+O4)(OH)10·5H2O,Cu6(SO4)(OH)10·5H2O,Cu S O H,IMA2018-139,6870,Italy,Pending publication|Approved,Guarinoite,orthorhombic,Cu^2+ S^6+ O H,
Itelmenite,Itelmenite,Na2Cu2+Mg2(S6+O4)4,Na2CuMg2(SO4)4,Na Cu Mg S O,IMA2015-047,6448,Russia,Approved, ,orthorhombic,Na Cu^2+ Mg S^6+ O,
Itoigawaite,Itoigawaite,SrAl2Si2O7(OH)2·H2O,SrAl2Si2O7(OH)2·H2O,Sr Al Si O H,IMA1998-034,2495,Japan,Approved,Lawsonite,monoclinic,Sr Al Si O H,
Itoite,Itoite,Pb2+3GeO2(S6+O4)2(OH)2,Pb3GeO2(SO4)2(OH)2,Pb Ge O S H,,2496,Namibia,Approved, ,orthorhombic,Pb^2+ Ge O S^6+ H,
Itsiite,Itsiite,Ba2Ca(BSi2O7)2,Ba2Ca(BSi2O7)2,Ba Ca B Si O,IMA2013-085,6244,Canada,Approved,Hyalotekite,tetragonal,Ba Ca B Si O,
Ivanyukite-Cu,Ivanyukite-Cu,Cu2+Ti4+4(SiO4)3O2(OH)2·7H2O,Cu[Ti4O2(OH)2(SiO4)3]·7H2O,Cu Ti O H Si,IMA2007-043,5645,Russia,Approved,Pharmacosiderite,cubic,Cu^2+ Ti^4+ Si O H,
Ivanyukite-K,Ivanyukite-K,K2Ti4+4(SiO4)3O2(OH)2·9H2O,K2[Ti4O2(OH)2(SiO4)3]·9H2O,K Ti O H Si,IMA2007-042,5644,Russia,Approved,Pharmacosiderite,cubic,K Ti^4+ Si O H,
Ivanyukite-Na,Ivanyukite-Na,Na2Ti4+4(SiO4)3O2(OH)2·6H2O,Na2[Ti4O2(OH)2(SiO4)3]·6H2O,Na Ti O H Si,IMA2007-041,5643,Russia,Approved,Pharmacosiderite,hexagonal|cubic,Na Ti^4+ Si O H,
Ivsite,Ivsite,Na3H(S6+O4)2,Na3H(SO4)2,Na H S O,IMA2013-138,6296,Russia,Approved, ,monoclinic,Na H S^6+ O,
Iwashiroite-(Y),Iwashiroite-(Y),Y3+Ta5+O4,YTaO4,Y Ta O,IMA2003-053,5254,Japan,Approved, ,monoclinic,Y^3+ Ta^5+ O,
Iwateite,Iwateite,Na2BaMn2+(P5+O4)2,Na2BaMn(PO4)2,Na Ba Mn P O,IMA2013-034,6199,Japan,Approved,Aphthitalite,hexagonal,Na Ba Mn^2+ P^5+ O,
Ixiolite,Ixiolite,"(Ta5+,Mn2+,Nb5+)O2","(Ta,Mn,Nb)O2",Ta Mn Nb O,,2498,Finland,Approved|Redefined,Columbite,orthorhombic,Ta^5+ Mn^2+ Nb^5+ O,
Iyoite,Iyoite,Mn2+Cu2+Cl(OH)3,MnCuCl(OH)3,Mn Cu Cl O H,IMA2013-130,6289,Japan,Approved,Atacamite,monoclinic,Mn^2+ Cu^2+ Cl O H,
Izoklakeite,Izoklakeite,"Pb2+26.4(Cu1+,Fe2+)2(Sb3+,Bi3+)19.6S2-57","Pb26.4(Cu,Fe)2(Sb,Bi)19.6S57",Pb Cu Fe Sb Bi S,IMA1983-065,2499,Canada,Approved,Kobellite,orthorhombic,Pb^2+ Cu^1+ Fe^2+ Sb^3+ Bi^3+ S^2-,
Jáchymovite,Jachymovite,(U6+O2)8(S6+O4)(OH)14·13H2O,(UO2)8(SO4)(OH)14·13H2O,U O S H,IMA1994-025,2500,Czech Republic,Approved, ,monoclinic,U^6+ O S^6+ H,
Jacobsite,Jacobsite,Mn2+Fe3+2O4,Mn2+Fe3+2O4,Mn Fe O,,2501,Sweden,Approved,Spinel,cubic,Mn^2+ Fe^3+ O,
Jacquesdietrichite,Jacquesdietrichite,Cu2+2BO(OH)5,Cu2BO(OH)5,Cu B O H,IMA2003-012,5227,Morocco,Approved, ,orthorhombic,Cu^2+ B O H,
Jacutingaite,Jacutingaite,Pt2HgSe3,Pt2HgSe3,Pt Hg Se,IMA2010-078,5917,Brazil,Approved,Jacutingaite,hexagonal,Pt Hg Se,
Jadarite,Jadarite,LiNaB3SiO7(OH),LiNaB3SiO7(OH),Li Na B Si O H,IMA2006-036,5537,Serbia,Approved, ,monoclinic,Li Na B Si O H,
Jadeite,Jadeite,NaAlSi2O6,NaAlSi2O6,Na Al Si O,,2502,Burma,Approved,Pyroxene,monoclinic,Na Al Si O,
Jaffeite,Jaffeite,Ca6Si2O7(OH)6,Ca6Si2O7(OH)6,Ca Si O H,IMA1987-056,2503,Namibia,Approved, ,hexagonal,Ca Si O H,
Jagoite,Jagoite,"Pb2+9Fe3+2[Si2(Si,Fe3+)3][Pb2+2Si8(Si,Fe3+)2]O41Cl3","Pb18Fe3+4[Si4(Si,Fe3+)6][Pb4Si16(Si,Fe)4]O82Cl6",Pb Fe Si O Cl,,2504,Sweden,Grandfathered|Approved, ,hexagonal,Pb^2+ Fe^3+ Si O Cl,
Jagowerite,Jagowerite,BaAl2(P5+O4)2(OH)2,BaAl2(PO4)2(OH)2,Ba Al P O H,IMA1973-001,2505,Canada,Approved, ,triclinic,Ba Al P^5+ O H,
Jagüéite,Jagueite,Cu1+2Pd2+3Se2-4,Cu2Pd3Se4,Cu Pd Se,IMA2002-060,5209,Argentina,Approved|Renamed,Chrisstanleyite,monoclinic,Cu^1+ Pd^2+ Se^2-,
Jahnsite-(CaFeMg),Jahnsite-(CaFeMg),CaFe2+Mg2Fe3+2(P5+O4)4(OH)2·8H2O,CaFe2+Mg2Fe3+2(PO4)4(OH)2·8H2O,Ca Fe Mg P O H,IMA2013-111,6269,Australia,Approved,Jahnsite,monoclinic,Ca Fe^2+ Mg Fe^3+ P^5+ O H,
Jahnsite-(CaMnFe),Jahnsite-(CaMnFe),CaMn2+Fe2+2Fe3+2(P5+O4)4(OH)2·8H2O,CaMn2+Fe2+2Fe3+2(PO4)4(OH)2·8H2O,Ca Mn Fe P O H,,2506,USA,Approved|Redefined,Jahnsite,monoclinic,Ca Mn^2+ Fe^2+ Fe^3+ P^5+ O H,
Jahnsite-(CaMnMg),Jahnsite-(CaMnMg),CaMn2+Mg2Fe3+2(P5+O4)4(OH)2·8H2O,CaMn2+Mg2Fe3+2(PO4)4(OH)2·8H2O,Ca Mn Mg Fe P O H,,2507,USA,Approved|Redefined,Jahnsite,monoclinic,Ca Mn^2+ Mg Fe^3+ P^5+ O H,
Jahnsite-(CaMnMn),Jahnsite-(CaMnMn),CaMn2+Mn2+2Fe3+2(P5+O4)4(OH)2·8H2O,CaMn2+Mn2+2Fe3+2(PO4)4(OH)2·8H2O,Ca Mn Fe P O H,IMA1987-020,2508,Portugal,Approved,Jahnsite,monoclinic,Ca Mn^2+ Fe^3+ P^5+ O H,
Jahnsite-(CaMnZn),Jahnsite-(CaMnZn),CaMn2+Zn2+2Fe3+2(PO4)4(OH)2·8H2O,CaMn2+Zn2Fe3+2(PO4)4(OH)2·8H2O,Ca Mn Zn Fe P O H,IMA2019-073,6959,Germany,Pending publication|Approved,Jahnsite,monoclinic,Ca Mn^2+ Zn^2+ Fe^3+ P O H,
Jahnsite-(MnMnFe),Jahnsite-(MnMnFe),Mn2+Mn2+Fe2+2Fe3+2(PO4)4(OH)2·8H2O,Mn2+Mn2+Fe2+2Fe3+2(PO4)4(OH)2·8H2O,Mn Fe P O H,IMA2018-096,6826,Italy,Approved,Jahnsite,monoclinic,Mn^2+ Fe^2+ Fe^3+ P O H,
Jahnsite-(MnMnMg),Jahnsite-(MnMnMg),Mn2+Mn2+Mg2Fe3+2(PO4)4(OH)2·8H2O,Mn2+Mn2+Mg2Fe3+2(PO4)4(OH)2·8H2O,Mn Mg Fe P O H,IMA2018-118,6763,Brazil,Approved,Jahnsite,monoclinic,Mn^2+ Mg Fe^3+ P O H,
Jahnsite-(MnMnMn),Jahnsite-(MnMnMn),Mn2+Mn2+Mn2+2Fe3+2(P5+O4)4(OH)2·8H2O,Mn2+Mn2+Mn2+2Fe3+2(PO4)4(OH)2·8H2O,Mn Fe P O H,,2509,USA,Approved|Redefined,Jahnsite,,Mn^2+ Fe^3+ P^5+ O H,
Jahnsite-(MnMnZn),Jahnsite-(MnMnZn),Mn2+Mn2+Zn2+2Fe3+2(PO4)4(OH)2·8H2O,Mn2+Mn2+Zn2Fe3+2(PO4)4(OH)2·8H2O,Mn Zn Fe P O H,IMA2017-113,6739,Portugal,Approved,Jahnsite,monoclinic,Mn^2+ Zn^2+ Fe^3+ P O H,
Jahnsite-(NaFeMg),Jahnsite-(NaFeMg),NaFe3+Mg2Fe3+2(P5+O4)4(OH)2·8H2O,NaFe3+Mg2Fe3+2(PO4)4(OH)2·8H2O,Na Fe Mg P O H,IMA2007-016,5586,USA,Approved,Jahnsite,monoclinic,Na Fe^3+ Mg P^5+ O H,
Jahnsite-(NaMnMg),Jahnsite-(NaMnMg),"(Na,Ca)(Mn2+,Fe3+)(Mg,Fe3+)2Fe3+2(PO4)4(OH)2(H2O)8","(Na,Ca)(Mn2+,Fe3+)(Mg,Fe3+)2Fe3+2(PO4)4(OH)2(H2O)8",Na Ca Mn Fe Mg P O H,IMA2018-017,6760,Brazil/Australia,Approved,Jahnsite,monoclinic,Na Ca Mn^2+ Fe^3+ Mg P O H,
Jahnsite-(NaMnMn),Jahnsite-(NaMnMn),NaMn2+(Mn2+Fe3+)Fe3+2(PO4)4(OH)2·8H2O,NaMn2+(Mn2+Fe3+)Fe3+2(PO4)4(OH)2·8H2O,Na Mn Fe P O H,IMA2019-051,6957,Australia,Pending publication|Approved,Jahnsite,monoclinic,Na Mn^2+ Fe^3+ P O H,
Jaipurite,Jaipurite,CoS,CoS,Co S,,5398,India,Questionable mineral species|Approved,Nickeline,hexagonal,Co S,
Jakobssonite,Jakobssonite,CaAlF5,CaAlF5,Ca Al F,IMA2011-036,5963,Iceland,Approved, ,monoclinic,Ca Al F,
Jalpaite,Jalpaite,Ag1+3Cu1+S2-2,Ag3CuS2,Ag Cu S,,2510,Mexico,Grandfathered|Approved,Jalpaite,tetragonal,Ag^1+ Cu^1+ S^2-,
Jamborite,Jamborite,Ni2+1-xCo3+x(OH)2-x(S6+O4)x·nH2O [x ≤ 1/3; n ≤ (1-x)],Ni2+1-xCo3+x(OH)2-x(SO4)x·nH2O [x ≤ 1/3 n; ≤ (1-x)],Ni Co O H S,IMA1971-037,2511,Italy,Approved,Hydrotalcite,hexagonal,Ni^2+ Co^3+ O H S^6+,
Jamesite,Jamesite,"Pb2+2Zn2+Fe3+2(Fe3+,Zn2+)4(As5+O4)4(OH)8(OH,O)2","Pb2ZnFe3+2(Fe3+,Zn)4(AsO4)4(OH)8(OH,O)2",Pb Zn Fe As O H,IMA1978-079,2512,Namibia,Approved, ,triclinic,Pb^2+ Zn^2+ Fe^3+ As^5+ O H,
Jamesonite,Jamesonite,Pb2+4Fe2+Sb3+6S2-14,Pb4FeSb6S14,Pb Fe Sb S,,2513,United Kingdom,Grandfathered|Approved, ,monoclinic,Pb^2+ Fe^2+ Sb^3+ S^2-,
Janchevite,Janchevite,Pb2+7V5+(O8.5[box]0.5)Cl2,Pb7V5+(O8.5[box]0.5)Cl2,Pb V O Cl,IMA2017-079,6709,Namibia,Approved,Asisite,tetragonal,Pb^2+ V^5+ O Cl,
Janggunite,Janggunite,"(Mn4+,Mn2+,Fe3+)6O8(OH)6","(Mn4+,Mn2+,Fe3+)6O8(OH)6",Mn Fe O H,IMA1975-011,2514,South Korea,Approved, ,orthorhombic,Mn^4+ Mn^2+ Fe^3+ O H,
Janhaugite,Janhaugite,"Na3Mn2+3Ti4+2(Si2O7)2(O,OH,F)4","Na3Mn2+3Ti2(Si2O7)2(O,OH,F)4",Na Mn Ti Si O H F,IMA1981-018,2515,Norway,Approved,Wöhlerite ,monoclinic,Na Mn^2+ Ti^4+ Si O H F,
Jankovićite,Jankovicite,"Tl5Sb9(As,Sb)4S22","Tl5Sb9(As,Sb)4S22",Tl Sb As S,IMA1993-050,2516,North Macedonia,Approved, ,triclinic,Tl Sb As S,
Jarandolite,Jarandolite,CaB3O4(OH)3,CaB3O4(OH)3,Ca B O H,IMA1995-020c,5312,Serbia,Approved, ,monoclinic,Ca B O H,
Jarlite,Jarlite,"Na2(Sr,Na)14(Mg,[box])2Al12F64(OH)4","Na2(Sr,Na)14(Mg,[box])2Al12F64(OH)4",Na Sr Mg Al F O H,,2517,Denmark (Greenland),Grandfathered|Approved,Jarlite,monoclinic,Na Sr Mg Al F O H,
Jarosewichite,Jarosewichite,Mn3+Mn2+3As5+O4(OH)6,Mn3+Mn2+3(AsO4)(OH)6,Mn As O H,IMA1981-060,2518,USA,Approved, ,orthorhombic,Mn^3+ Mn^2+ As^5+ O H,
Jarosite,Jarosite,KFe3+3(S6+O4)2(OH)6,KFe3+3(SO4)2(OH)6,K Fe S O H,,2519,Spain,Approved|Redefined,Alunite-Alunite,hexagonal,K Fe^3+ S^6+ O H,
Jaskólskiite,Jaskolskiite,"Cu1+0.15Pb2+2.15(Sb3+,Bi3+)1.85S2-5","CuxPb2+x(Sb,Bi)2-xS5 (x ≈ 0.15)",Cu Pb Sb Bi S,IMA1982-057,2520,Sweden,Approved,Meneghinite,orthorhombic,Cu^1+ Pb^2+ Sb^3+ Bi^3+ S^2-,
Jasmundite,Jasmundite,Ca11O2(SiO4)4S2-,Ca11O2(SiO4)4S,Ca O Si S,IMA1981-047,2521,Germany,Approved, ,tetragonal,Ca O Si S^2-,
Jasonsmithite,Jasonsmithite,Mn2+4Zn2+Al(PO4)4(OH)(H2O)7·3.5H2O,Mn2+4ZnAl(PO4)4(OH)(H2O)7·3.5H2O,Mn Zn Al P O H,IMA2019-121,7004,USA,Pending publication|Approved, ,,Mn^2+ Zn^2+ Al P O H,
Jasrouxite,Jasrouxite,Ag1+16Pb2+4(Sb3+25As3+15)S2-72,Ag16Pb4(Sb25As15)Σ40S72,Ag Pb Sb As S,IMA2012-058,6114,France,Approved,Lillianite,triclinic,Ag^1+ Pb^2+ Sb^3+ As^3+ S^2-,
